Applied Optics
Vol. 23, Issue 4, pp. 541-547 (1984) 
https://doi.org/10.1364/AO.23.000541
Optical properties of NH3 ice from the far infrared to the near ultraviolet
John V. Martonchik, Glenn S. Orton, and John F. Appleby
Table I
Optical Constants for Solid Ammonia
cm−1	nr	ni
2700.0	1.409	5.895E-04
2800.0	1.412	5.684E-04
2900.0	1.417	5.488E-04
2950.0	1.419	6.744E-04
3000.0	1.423	9.284E-04
3050.0	1.428	1.305E-03
3100.0	1.434	2.310E-03
3120.0	1.437	2.806E-03
3140.0	1.441	3.295E-03
3160.0	1.446	4.281E-03
3180.0	1.454	5.756E-03
3200.0	1.462	1.616E-02
3220.0	1.458	2.125E-02
3240.0	1.469	2.358E-02
3260.0	1.479	3.662E-02
3270.0	1.480	4.867E-02
3280.0	1.477	5.580E-02
3300.0	1.470	5.787E-02
3310.0	1.476	5.289E-02
3320.0	1.489	5.034E-02
3330.0	1.511	5.018E-02
3340.0	1.551	5.242E-02
3350.0	1.647	6.651E-02
3360.0	1.789	2.368E-01
3362.3	1.821	3.706E-01
3364.7	1.782	5.044E-01
3367.0	1.638	6.381E-01
3367.3	1.626	5.987E-01
3367.7	1.633	5.592E-01
3368.0	1.622	5.198E-01
3368.7	1.681	5.669E-01
3369.3	1.682	6.141E-01
3370.0	1.678	6.612E-01
3371.3	1.634	7.946E-01
3372.7	1.516	9.280E-01
3374.0	1.267	1.061E+00
3376.0	0.948	8.331E-01
3378.0	0.832	6.049E-01
3380.0	0.850	3.767E-01
3383.3	0.922	2.668E-01
3386.7	0.951	1.569E-01
3390.0	1.024	4.695E-02
3400.0	1.177	9.596E-03
3440.0	1.313	6.940E-03
3500.0	1.351	4.547E-03
3540.0	1.361	5.395E-03
3600.0	1.372	1.105E-03
3700.0	1.382	1.398E-03
3800.0	1.387	1.047E-03
3900.0	1.391	8.162E-04
4000.0	1.393	4.974E-04
4100.0	1.396	5.046E-04
4200.0	1.398	5.305E-04
4300.0	1.400	1.536E-03
4400.0	1.403	2.170E-03
4460.0	1.403	1.303E-02
4470.0	1.393	1.620E-02
4480.0	1.390	4.085E-03
4500.0	1.394	1.768E-03
4600.0	1.399	3.287E-04
4700.0	1.401	3.386E-04
4800.0	1.402	3.979E-04
4900.0	1.404	1.137E-03
5000.0	1.400	6.207E-03
5100.0	1.401	4.213E-04
5200.0	1.402	4.438E-04
5300.0	1.403	2.402E-04
5400.0	1.404	1.474E-04
5500.0	1.404	1.157E-04
5600.0	1.405	7.105E-05
5800.0	1.405	6.860E-05
6000.0	1.406	1.857E-04
6100.0	1.406	2.218E-04
6200.0	1.407	1.155E-04
6300.0	1.407	6.316E-05
6400.0	1.408	1.368E-04
6500.0	1.407	2.693E-04
6600.0	1.407	2.653E-04
6700.0	1.407	1.306E-04
6800.0	1.408	8.192E-05
6840.0	1.408	5.817E-05
14976.7	1.423	3.963E-05
23113.3	1.449	2.109E-05
31250.0	1.488	2.546E-06
33333.0	1.505	2.387E-06
35714.0	1.517	2.228E-06
38462.0	1.544	2.069E-06
41667.0	1.582	1.910E-06
46729.0	1.677	1.703E-06
47619.0	1.707	1.671E-06
50000.0	1.792	1.592E-06
50633.0	1.823	3.143E-05
51282.0	1.870	7.759E-05
52632.0	2.010	1.210E-03
53192.0	2.143	1.257E-02
54054.0	2.251	2.944E-01
55556.0	2.082	6.589E-01
58824.0	1.739	6.683E-01
66667.0	1.522	5.897E-01
71429.0	1.548	5.504E-01
