Wavelength(um)
227.531
138.793
97.752
73.692
53.879
42.212
35.753
29.7
24.839
21.395
19.382
18.18
16.978
15.777
14.575
13.588
12.787
11.986
11.292
10.692
10.091
9.648
9.348
8.995
8.673
8.345
8.074
7.904
7.714
7.498
7.284
7.094
6.873
6.664
6.515
6.297
6.064
5.899
5.759
5.572
5.379
5.265
5.149
5.0
4.882
4.827
4.796
4.75
4.7
4.662
4.605
4.504
4.395
4.301
4.202
4.074
3.949
3.849
3.749
3.662
3.587
3.513
3.438
3.363
3.308
3.269
3.231
3.193
3.156
3.118
3.085
3.055
3.014
2.965
2.909
2.847
2.787
2.73
2.676
2.623
2.574
2.527
2.482
2.437
2.394
2.354
2.314
2.276
2.24
2.209
2.183
2.163
2.148
2.137
2.129
2.114
2.091
2.07
2.05
2.03
2.01
1.982
1.947
1.916
1.889
1.863
1.837
1.812
1.788
1.766
1.74
1.713
1.692
1.675
1.66
1.646
1.627
1.604
1.584
1.567
1.552
1.538
1.523
1.506
1.488
1.471
1.452
1.434
1.416
1.4
1.386
1.374
1.358
1.339
1.318
1.296
1.276
1.259
1.241
1.224
1.206
1.189
1.169
1.148
1.126
1.102
1.08
1.061
1.04
1.016
0.996
0.98
0.963
0.944
0.931
0.919
0.904
0.891
0.877
0.865
0.852
0.834
0.822
0.81
0.792
0.777
0.765
0.752
0.739
0.729
0.714
0.697
0.677
0.657
0.642
0.628
0.617
0.604
0.591
0.578
0.565
0.552
0.537
0.523
0.506
0.485
0.465
0.445
0.426
0.408
0.387
0.362
0.337
0.312
0.287
0.268
