1000.   100.00   0.28 0.0 0.100E+06  0.00  1.00  1.00  Teff, grav(MKS), Y, f_sed, kz_min, [Fe/H], C/O, f_hole
 70   3.2208468   1513.86 1.5272E+04  0.2721  0.1838 6.0364E-05
 71   3.7126138   1555.49 1.5275E+04  0.2707  0.1909 6.7716E-05
 72   4.2794651   1600.74 1.5279E+04  0.2692  0.2018 7.5850E-05
 73   4.9328647   1651.28 1.5288E+04  0.2673  0.2188 8.4762E-05
 74   5.6860269   1713.11 4.2101E+06  0.2652  0.2587 9.4193E-05
 75   6.5541839   1778.62 1.2112E+07  0.2629  0.2641 1.0461E-04
 76   7.5548933   1846.03 2.1101E+07  0.2601  0.2618 1.1620E-04
 77   8.7083935   1915.13 3.0941E+07  0.2570  0.2586 1.2914E-04
 78  10.0380131   1986.00 3.8499E+07  0.2542  0.2557 1.4358E-04
 79  11.5706423   2058.68 4.2798E+07  0.2507  0.2529 1.5969E-04
 80  13.3372773   2132.73 4.5673E+07  0.2464  0.2487 1.7768E-04
 81  15.3736465   2208.19 4.7355E+07  0.2425  0.2447 1.9778E-04
 82  17.7209338   2285.12 4.8709E+07  0.2386  0.2410 2.2023E-04
 83  20.4266108   2363.06 4.9983E+07  0.2327  0.2360 2.4538E-04
 84  23.5453974   2441.76 5.1054E+07  0.2274  0.2306 2.7359E-04
 85  27.1403683   2521.36 5.1965E+07  0.2228  0.2258 3.0523E-04
 86  31.2842284   2601.81 5.2760E+07  0.2170  0.2211 3.4071E-04
 87  36.0607835   2682.42 5.3421E+07  0.2109  0.2147 3.8055E-04
 88  41.5666352   2763.34 5.3978E+07  0.2056  0.2092 4.2528E-04
 89  47.9131342   2844.64 5.4450E+07  0.2007  0.2041 4.7554E-04
 90  55.2286328   2926.32 5.4855E+07  0.1955  0.1992 5.3202E-04
 91  63.6610802   3008.14 5.6702E+07  0.1905  0.1941 5.9553E-04
